entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8903),127.49182644486427,36.32684440910816,tensor(0.8499)
tensor(0.8861),131.34444159269333,37.37035796046257,tensor(0.8441)
tensor(0.8846),134.18058118224144,41.52983418107033,tensor(0.8300)
tensor(0.8884),129.67074593901634,36.619185388088226,tensor(0.8459)
tensor(0.8848),133.4774705171585,42.52014601230621,tensor(0.8257)
tensor(0.8843),135.37501834332943,39.135928601026535,tensor(0.8421)
tensor(0.8868),131.92526829242706,36.96793906390667,tensor(0.8479)
tensor(0.8848),134.04286567866802,34.808047235012054,tensor(0.8561)
tensor(0.8855),133.19179197400808,42.69597078859806,tensor(0.8258)
tensor(0.8864),135.0234373807907,38.9961576461792,tensor(0.8417)
tensor(0.8861),131.8760648369789,38.0714031457901,tensor(0.8416)
tensor(0.8867),132.35465003550053,40.203214555978775,tensor(0.8442)
tensor(0.8850),135.53289256989956,37.17582231760025,tensor(0.8469)
tensor(0.8858),132.91590596735477,36.666100934147835,tensor(0.8469)
tensor(0.8838),135.4074405580759,39.5990906059742,tensor(0.8346)
tensor(0.8818),136.90246404707432,37.262115225195885,tensor(0.8433)
tensor(0.8829),137.59332625567913,36.32938927412033,tensor(0.8481)
tensor(0.8847),134.22593101859093,40.3281329870224,tensor(0.8364)
tensor(0.8865),134.58151924610138,36.98675495386124,tensor(0.8446)
tensor(0.8840),135.92700634896755,36.94470962882042,tensor(0.8514)
