SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.9631),42.46085857227445,19.38976915180683,tensor(0.9209)
tensor(0.9696),35.74451132491231,20.174437329173088,tensor(0.9211)
tensor(0.9744),29.793153466656804,19.36420325189829,tensor(0.9230)
tensor(0.9762),29.115878263488412,18.836392618715763,tensor(0.9219)
tensor(0.9764),29.048058442771435,18.51506895571947,tensor(0.9248)
tensor(0.9777),28.41599635966122,19.075929038226604,tensor(0.9230)
tensor(0.9784),28.721990168094635,18.08529157191515,tensor(0.9277)
tensor(0.9789),28.463381711393595,18.52756578475237,tensor(0.9254)
tensor(0.9796),28.29481778666377,18.1329625248909,tensor(0.9274)
tensor(0.9807),27.29568482376635,18.268238224089146,tensor(0.9248)
tensor(0.9801),27.491639839485288,18.493331968784332,tensor(0.9244)
tensor(0.9813),26.83283495157957,18.142484828829765,tensor(0.9272)
tensor(0.9811),26.821415718644857,18.11247991025448,tensor(0.9261)
tensor(0.9815),26.877861926332116,18.169224865734577,tensor(0.9246)
tensor(0.9824),25.982391307130456,17.89949108660221,tensor(0.9285)
tensor(0.9831),25.545655123889446,17.99334678053856,tensor(0.9269)
tensor(0.9824),25.183510510250926,18.08786453306675,tensor(0.9265)
tensor(0.9830),24.828544180840254,18.32028191536665,tensor(0.9265)
tensor(0.9847),24.001471122726798,18.260921649634838,tensor(0.9241)
tensor(0.9850),23.07970491796732,13.712320283055305,tensor(0.9430)
