baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.8959),120.87016604095697,35.2543830126524,tensor(0.8460)
tensor(0.8943),121.7391362786293,32.40444394946098,tensor(0.8656)
tensor(0.8945),120.63833951950073,31.367638498544693,tensor(0.8711)
tensor(0.8957),121.17585906386375,35.25284871459007,tensor(0.8539)
tensor(0.8965),119.74875691533089,37.819839879870415,tensor(0.8454)
tensor(0.8940),121.94506591558456,36.901998579502106,tensor(0.8473)
tensor(0.8974),120.17148028314114,34.09124727547169,tensor(0.8585)
tensor(0.8952),119.28908532857895,36.08100515604019,tensor(0.8486)
tensor(0.8936),122.43987548351288,36.00413702428341,tensor(0.8473)
tensor(0.8975),118.68744966387749,34.9134988039732,tensor(0.8537)
tensor(0.8963),121.55098327994347,35.36924847960472,tensor(0.8529)
tensor(0.8965),119.77764262259007,34.07292675971985,tensor(0.8570)
tensor(0.8959),120.24766619503498,38.62387353181839,tensor(0.8373)
tensor(0.8950),121.99168652296066,32.061984822154045,tensor(0.8612)
tensor(0.8967),120.63640540838242,32.44861176609993,tensor(0.8655)
tensor(0.8953),120.48535086214542,36.32577982544899,tensor(0.8542)
tensor(0.8943),122.54326884448528,35.10259856283665,tensor(0.8515)
tensor(0.8989),117.94331280887127,34.058433413505554,tensor(0.8541)
tensor(0.8950),119.73574036359787,33.75384695827961,tensor(0.8607)
tensor(0.8969),119.29465653002262,36.39844071865082,tensor(0.8505)
