baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.9627),43.28096138685942,19.079357862472534,tensor(0.9225)
tensor(0.9688),36.53068498149514,20.163983777165413,tensor(0.9195)
tensor(0.9726),30.7967313490808,19.868171028792858,tensor(0.9214)
tensor(0.9767),26.91412790119648,20.463390573859215,tensor(0.9201)
tensor(0.9807),23.082843452692032,21.794337458908558,tensor(0.9153)
tensor(0.9809),21.755995139479637,21.631095431745052,tensor(0.9182)
tensor(0.9831),19.53615220077336,20.434867307543755,tensor(0.9241)
tensor(0.9845),17.603616822510958,21.645236738026142,tensor(0.9222)
tensor(0.9860),16.40015228278935,21.95600201189518,tensor(0.9197)
tensor(0.9882),13.955593597143888,21.43357627093792,tensor(0.9233)
tensor(0.9880),14.042721532285213,21.26533407345414,tensor(0.9228)
tensor(0.9891),12.782558660954237,21.44940420985222,tensor(0.9234)
tensor(0.9897),12.357239363715053,21.979489251971245,tensor(0.9200)
tensor(0.9899),11.766308134421706,21.233184285461903,tensor(0.9256)
tensor(0.9900),11.977093243971467,21.479697555303574,tensor(0.9265)
tensor(0.9899),11.798266261816025,22.632502406835556,tensor(0.9202)
tensor(0.9905),11.494569431990385,22.80704540014267,tensor(0.9223)
tensor(0.9909),10.974288310855627,24.079938523471355,tensor(0.9164)
tensor(0.9893),12.47583150304854,22.825830847024918,tensor(0.9197)
tensor(0.9900),11.799405131489038,19.72084081918001,tensor(0.9350)
