entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8854),131.45306393504143,39.085221603512764,tensor(0.8413)
tensor(0.8862),132.21244540810585,32.4538726657629,tensor(0.8671)
tensor(0.8897),130.59588053822517,38.35489347577095,tensor(0.8415)
tensor(0.8861),132.92410072684288,39.24245676398277,tensor(0.8347)
tensor(0.8886),128.93162588775158,37.87793678045273,tensor(0.8409)
tensor(0.8845),134.96241107583046,38.47842273116112,tensor(0.8432)
tensor(0.8834),135.75313772261143,40.36681553721428,tensor(0.8259)
tensor(0.8856),133.46418273448944,37.72108933329582,tensor(0.8487)
tensor(0.8840),133.83787733316422,39.866489559412,tensor(0.8352)
tensor(0.8863),132.58956757187843,37.27221766114235,tensor(0.8470)
tensor(0.8831),136.44943360984325,38.633860528469086,tensor(0.8422)
tensor(0.8843),133.59996388852596,39.259855538606644,tensor(0.8323)
tensor(0.8858),134.53844840824604,40.68983060121536,tensor(0.8326)
tensor(0.8844),134.51393473148346,33.91351427137852,tensor(0.8580)
tensor(0.8843),135.7620289772749,38.029777616262436,tensor(0.8420)
tensor(0.8832),136.60943911969662,37.06986680626869,tensor(0.8451)
tensor(0.8852),135.03837709128857,37.898458153009415,tensor(0.8434)
tensor(0.8838),134.15285623818636,37.56922069191933,tensor(0.8468)
tensor(0.8793),138.93000242114067,36.94813323020935,tensor(0.8478)
tensor(0.8831),134.3027693927288,44.228287518024445,tensor(0.8278)
