baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.9632),42.09576145745814,21.644248202443123,tensor(0.9131)
tensor(0.9704),35.169158129021525,20.137908324599266,tensor(0.9185)
tensor(0.9739),30.921762444078922,20.369504779577255,tensor(0.9180)
tensor(0.9770),26.71071895211935,20.54597168415785,tensor(0.9185)
tensor(0.9795),23.895771004259586,21.78189831227064,tensor(0.9142)
tensor(0.9816),21.415333230048418,21.204387679696083,tensor(0.9173)
tensor(0.9824),20.184293009340763,22.019392117857933,tensor(0.9157)
tensor(0.9851),17.493183935061097,21.64225824177265,tensor(0.9147)
tensor(0.9869),15.369462225120515,23.23197578638792,tensor(0.9134)
tensor(0.9878),13.918023660779,22.769127547740936,tensor(0.9185)
tensor(0.9873),14.38249524962157,22.484935134649277,tensor(0.9181)
tensor(0.9893),12.845813712105155,24.41982312500477,tensor(0.9137)
tensor(0.9887),13.416114261373878,22.623278506100178,tensor(0.9174)
tensor(0.9898),12.285929404199123,24.099282771348953,tensor(0.9136)
tensor(0.9894),12.62999896146357,24.631897874176502,tensor(0.9124)
tensor(0.9911),11.428112803027034,23.460687175393105,tensor(0.9162)
tensor(0.9902),11.599611386656761,24.196359634399414,tensor(0.9141)
tensor(0.9905),10.99604132771492,24.587124578654766,tensor(0.9103)
tensor(0.9903),11.591293534263968,25.691162899136543,tensor(0.9094)
tensor(0.9901),11.377877617254853,17.383656341582537,tensor(0.9416)
