SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8741),653.2114641778171,127.17844530940056,tensor(0.8643)
tensor(0.8766),639.6518586464226,126.0482789427042,tensor(0.8648)
tensor(0.8807),605.7866195477545,131.01591136306524,tensor(0.8594)
tensor(0.8802),604.3317003138363,125.18048920482397,tensor(0.8680)
tensor(0.8755),647.5440825149417,124.21662138402462,tensor(0.8675)
tensor(0.8790),628.1156563200057,130.6700477451086,tensor(0.8579)
tensor(0.8826),607.3981979899108,141.11513070762157,tensor(0.8645)
tensor(0.8780),629.3512373454869,130.1109145656228,tensor(0.8611)
tensor(0.8827),604.9591898731887,126.68462083488703,tensor(0.8670)
tensor(0.8827),599.2729015350342,141.29754404723644,tensor(0.8644)
tensor(0.8905),547.1831713095307,130.19261449575424,tensor(0.8650)
tensor(0.8939),531.1438658237457,131.4686951637268,tensor(0.8702)
tensor(0.8949),525.0849334932864,134.38818216323853,tensor(0.8740)
tensor(0.8948),520.8708262797445,132.7466951496899,tensor(0.8741)
tensor(0.8968),513.272895688191,128.33287208899856,tensor(0.8788)
tensor(0.8961),514.0345861464739,128.52867021411657,tensor(0.8771)
tensor(0.8990),504.1921233050525,131.8826128654182,tensor(0.8728)
tensor(0.8979),504.20480858907104,127.51315548270941,tensor(0.8749)
tensor(0.8983),504.8652358558029,140.4065847210586,tensor(0.8733)
tensor(0.8996),495.1342499759048,142.44570140726864,tensor(0.8763)
tensor(0.9043),468.956739211455,136.1338736601174,tensor(0.8768)
tensor(0.9043),467.8801288753748,134.27542673423886,tensor(0.8791)
tensor(0.9073),457.22011268883944,141.49699549004436,tensor(0.8832)
tensor(0.9071),454.2034986540675,138.43738371878862,tensor(0.8768)
tensor(0.9080),447.1734784729779,141.68617453426123,tensor(0.8791)
tensor(0.9075),446.8876550393179,145.2564620450139,tensor(0.8768)
tensor(0.9087),448.59807027876377,158.4703241996467,tensor(0.8782)
tensor(0.9080),445.7675363337621,145.77537844330072,tensor(0.8775)
tensor(0.9088),446.3335378728807,154.97934344410896,tensor(0.8778)
tensor(0.9084),443.20052861236036,149.98833313584328,tensor(0.8749)
tensor(0.9106),436.54899050295353,160.50328474119306,tensor(0.8784)
tensor(0.9113),435.62219808250666,151.7640569806099,tensor(0.8802)
tensor(0.9105),433.93715898506343,162.5499223805964,tensor(0.8803)
tensor(0.9112),430.0399716887623,150.8644636645913,tensor(0.8769)
tensor(0.9114),433.72658636793494,145.05320520326495,tensor(0.8806)
