SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8682),673.0641600638628,125.9568664431572,tensor(0.8631)
tensor(0.8753),635.8037038557231,129.08586875349283,tensor(0.8588)
tensor(0.8800),597.9368016384542,125.96518349647522,tensor(0.8670)
tensor(0.8781),612.5160663239658,129.0564384534955,tensor(0.8591)
tensor(0.8734),642.4229062758386,131.52028370648623,tensor(0.8600)
tensor(0.8755),636.4690029546618,143.26418306306005,tensor(0.8434)
tensor(0.8765),627.7709004469216,128.82179858163,tensor(0.8649)
tensor(0.8784),623.6345627382398,130.72139848023653,tensor(0.8633)
tensor(0.8803),615.4539430998266,140.64290262013674,tensor(0.8629)
tensor(0.8786),629.3632210679352,132.54692478477955,tensor(0.8532)
tensor(0.8887),562.07139172405,132.33231269568205,tensor(0.8638)
tensor(0.8923),541.6859144670889,125.63669506460428,tensor(0.8714)
tensor(0.8947),537.3205930916592,128.13764613866806,tensor(0.8692)
tensor(0.8944),525.8015190623701,135.8500086888671,tensor(0.8715)
tensor(0.8929),542.1441149637103,129.02841074764729,tensor(0.8716)
tensor(0.8978),513.7596797756851,136.3262397274375,tensor(0.8701)
tensor(0.8966),527.2325664907694,126.90608849748969,tensor(0.8681)
tensor(0.8966),518.1824396075681,129.8129024170339,tensor(0.8669)
tensor(0.8975),518.0931055471301,134.48424619063735,tensor(0.8711)
tensor(0.8972),517.798413656652,130.15601298213005,tensor(0.8723)
tensor(0.9021),484.24518398195505,132.54396072775126,tensor(0.8739)
tensor(0.9042),474.42788743041456,139.06704260781407,tensor(0.8737)
tensor(0.9066),470.42393237538636,141.76094983890653,tensor(0.8683)
tensor(0.9067),462.42904185317457,140.47991754487157,tensor(0.8768)
tensor(0.9069),462.585709111765,136.7511550169438,tensor(0.8749)
tensor(0.9058),465.2796302754432,142.43220672756433,tensor(0.8732)
tensor(0.9075),458.0336960563436,144.88738100603223,tensor(0.8757)
tensor(0.9086),455.34167016111314,141.34847649931908,tensor(0.8754)
tensor(0.9096),450.6422519888729,144.67651239223778,tensor(0.8740)
tensor(0.9078),456.42090957425535,159.12735902145505,tensor(0.8740)
tensor(0.9086),448.27274893783033,149.82433772459626,tensor(0.8721)
tensor(0.9095),449.77018946036696,151.18200897052884,tensor(0.8768)
tensor(0.9106),443.4850777257234,145.72864210233092,tensor(0.8746)
tensor(0.9109),439.3768829628825,148.9009366631508,tensor(0.8721)
tensor(0.9105),444.1111842766404,136.66928765922785,tensor(0.8799)
