MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8860),617.9234256353229,138.89528577029705,tensor(0.8601)
tensor(0.8928),588.5092561393976,147.2121580466628,tensor(0.8650)
tensor(0.8923),588.7616509087384,144.13044840842485,tensor(0.8627)
tensor(0.8908),628.3876381069422,149.14549230784178,tensor(0.8638)
tensor(0.8934),610.6010966412723,155.00232377648354,tensor(0.8643)
tensor(0.8953),608.6436492577195,165.91448763012886,tensor(0.8616)
tensor(0.8961),628.8635803945363,154.1057710647583,tensor(0.8712)
tensor(0.8973),643.4418731704354,178.52475044876337,tensor(0.8601)
tensor(0.8990),602.9151266515255,153.46032594516873,tensor(0.8624)
tensor(0.8971),625.7230440042913,164.69785840436816,tensor(0.8536)
tensor(0.9097),531.0647818744183,157.1159496679902,tensor(0.8680)
tensor(0.9131),504.19006899464875,169.27293200418353,tensor(0.8698)
tensor(0.9150),505.19170209020376,173.06510527059436,tensor(0.8651)
tensor(0.9151),500.1624171761796,173.31920402497053,tensor(0.8694)
tensor(0.9172),482.27344189723954,199.83810259774327,tensor(0.8694)
tensor(0.9185),480.12207556981593,195.56743677332997,tensor(0.8648)
tensor(0.9179),493.5065656453371,200.04017879068851,tensor(0.8706)
tensor(0.9224),468.1039360864088,197.75791588798165,tensor(0.8623)
tensor(0.9224),474.0047841751948,205.36154503375292,tensor(0.8644)
tensor(0.9246),460.88210491091013,214.80059774406254,tensor(0.8656)
tensor(0.9299),429.86449747206643,206.96648865565658,tensor(0.8683)
tensor(0.9323),418.02090390073135,216.05508492141962,tensor(0.8678)
tensor(0.9331),418.12295482866466,227.96967162191868,tensor(0.8691)
tensor(0.9348),410.1348503511399,235.1820755749941,tensor(0.8656)
tensor(0.9351),411.00655478425324,234.0550138168037,tensor(0.8679)
tensor(0.9365),403.59214358311146,256.05263724923134,tensor(0.8670)
tensor(0.9362),414.21343025937676,283.6659958511591,tensor(0.8657)
tensor(0.9378),409.4416850833222,255.11563912779093,tensor(0.8628)
tensor(0.9395),391.4007288161665,264.04195936769247,tensor(0.8612)
tensor(0.9399),390.12845312431455,267.97742707654834,tensor(0.8682)
tensor(0.9410),387.9097544355318,272.040131021291,tensor(0.8655)
tensor(0.9413),388.140550496988,284.1908496282995,tensor(0.8642)
tensor(0.9408),392.6505407989025,282.1370284948498,tensor(0.8645)
tensor(0.9438),379.8955933698453,296.91828905418515,tensor(0.8632)
tensor(0.9421),387.9452579738572,232.50279285013676,tensor(0.8860)
