entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8698),716.3923372998834,135.5673249065876,tensor(0.8612)
tensor(0.8711),731.1151751764119,138.1668404340744,tensor(0.8572)
tensor(0.8741),743.9874089322984,157.24593633413315,tensor(0.8573)
tensor(0.8728),772.675538469106,156.65270841866732,tensor(0.8556)
tensor(0.8762),761.7361332811415,160.02603784576058,tensor(0.8651)
tensor(0.8777),789.6287074796855,165.47241363674402,tensor(0.8615)
tensor(0.8787),789.3130972273648,165.74509005993605,tensor(0.8617)
tensor(0.8791),799.3685869723558,160.18618654459715,tensor(0.8625)
tensor(0.8790),812.1235698275268,178.51707768812776,tensor(0.8679)
tensor(0.8793),949.8099134452641,218.63985146209598,tensor(0.8688)
tensor(0.8891),779.8186486754566,180.3622501268983,tensor(0.8687)
tensor(0.8913),748.0224572122097,172.219981610775,tensor(0.8733)
tensor(0.8899),746.5686242301017,172.3525114953518,tensor(0.8720)
tensor(0.8930),742.3672969061881,176.25465581193566,tensor(0.8757)
tensor(0.8941),747.3437136150897,167.49419267475605,tensor(0.8720)
tensor(0.8946),696.0001823529601,171.99381627887487,tensor(0.8758)
tensor(0.8959),706.3997449465096,167.33894661068916,tensor(0.8732)
tensor(0.8950),704.239743238315,175.34559939429164,tensor(0.8744)
tensor(0.8976),694.2740591596812,178.10320230573416,tensor(0.8781)
tensor(0.8973),723.7942750458606,188.17963421717286,tensor(0.8779)
tensor(0.9026),686.8780074045062,166.69699535891414,tensor(0.8767)
tensor(0.9046),656.8788728564978,185.57914889231324,tensor(0.8792)
tensor(0.9058),628.4885248383507,176.93637131899595,tensor(0.8765)
tensor(0.9051),658.287813115865,166.65685204416513,tensor(0.8772)
tensor(0.9060),657.1955959778279,179.06725721806288,tensor(0.8800)
tensor(0.9072),648.1320848669857,176.21535259857774,tensor(0.8814)
tensor(0.9073),655.8447181023657,165.7860860861838,tensor(0.8798)
tensor(0.9078),629.0756040066481,170.33502715080976,tensor(0.8781)
tensor(0.9093),639.0117587912828,177.83591304719448,tensor(0.8788)
tensor(0.9091),644.309702668339,180.43308809027076,tensor(0.8780)
tensor(0.9080),661.0586761571467,168.9096290282905,tensor(0.8791)
tensor(0.9097),642.8524955771863,189.6029008589685,tensor(0.8805)
tensor(0.9107),664.9365519471467,182.4835748411715,tensor(0.8814)
tensor(0.9106),661.7951310314238,194.84110543876886,tensor(0.8785)
tensor(0.9099),651.6124767959118,167.50986559689045,tensor(0.8851)
