entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8725),705.1078461557627,145.5571246445179,tensor(0.8639)
tensor(0.8769),688.7505821436644,147.29515873268247,tensor(0.8644)
tensor(0.8782),730.3392713479698,180.70318976789713,tensor(0.8547)
tensor(0.8791),755.3253396786749,153.83543691784143,tensor(0.8651)
tensor(0.8816),765.042551420629,207.88390450179577,tensor(0.8717)
tensor(0.8823),796.1632247753441,174.0923824645579,tensor(0.8678)
tensor(0.8813),823.5523266606033,254.22449550777674,tensor(0.8304)
tensor(0.8834),884.2062390036881,205.406059846282,tensor(0.8695)
tensor(0.8867),810.9760432317853,213.24676030501723,tensor(0.8696)
tensor(0.8834),1044.0080241560936,214.12273266911507,tensor(0.8707)
tensor(0.8960),834.696799941361,192.22973262518644,tensor(0.8785)
tensor(0.8976),750.500733807683,187.81815887987614,tensor(0.8728)
tensor(0.8996),785.4044721610844,209.1077869310975,tensor(0.8732)
tensor(0.9007),721.9212623853236,191.70376397296786,tensor(0.8746)
tensor(0.9025),670.7023501694202,180.5901226438582,tensor(0.8821)
tensor(0.9030),705.0346279013902,192.4295265302062,tensor(0.8760)
tensor(0.9036),696.7374540306628,215.06645971164107,tensor(0.8782)
tensor(0.9032),702.3391162641346,189.53113471716642,tensor(0.8767)
tensor(0.9047),650.2605964746326,197.06218411028385,tensor(0.8787)
tensor(0.9052),626.0308560803533,189.94188660010695,tensor(0.8778)
tensor(0.9095),606.9277863949537,176.62435947172344,tensor(0.8836)
tensor(0.9127),610.9499216619879,190.4460122436285,tensor(0.8802)
tensor(0.9129),618.3453375063837,173.5165276788175,tensor(0.8823)
tensor(0.9137),620.5269574597478,187.5354516506195,tensor(0.8823)
tensor(0.9151),605.9585496149957,197.8273171260953,tensor(0.8828)
tensor(0.9135),612.9287454951555,185.48505364358425,tensor(0.8858)
tensor(0.9145),607.9186736345291,189.01669431850314,tensor(0.8853)
tensor(0.9166),594.9273474179208,188.85483204945922,tensor(0.8861)
tensor(0.9154),591.9951202906668,195.18195107020438,tensor(0.8829)
tensor(0.9169),599.7019146373495,184.25241281837225,tensor(0.8833)
tensor(0.9176),598.2906471872702,191.7191822361201,tensor(0.8822)
tensor(0.9196),581.255972770974,208.2300381809473,tensor(0.8810)
tensor(0.9180),603.9683541320264,195.09127097204328,tensor(0.8801)
tensor(0.9195),606.1322062630206,209.38181628286839,tensor(0.8794)
tensor(0.9198),613.3253048807383,189.23037175647914,tensor(0.8863)
