SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8686),681.7519430406392,134.21005553007126,tensor(0.8480)
tensor(0.8741),658.4558273181319,125.48997010290623,tensor(0.8588)
tensor(0.8797),608.0282658077776,138.77583894506097,tensor(0.8448)
tensor(0.8771),633.9468543417752,127.43217948079109,tensor(0.8597)
tensor(0.8753),646.7311750501394,134.079698510468,tensor(0.8597)
tensor(0.8753),652.7008426114917,134.50934305787086,tensor(0.8568)
tensor(0.8780),646.7166058570147,127.89799001812935,tensor(0.8668)
tensor(0.8783),636.2046165056527,132.0414548292756,tensor(0.8524)
tensor(0.8757),646.2298783697188,132.41267190873623,tensor(0.8623)
tensor(0.8790),624.3443110510707,125.52120698988438,tensor(0.8622)
tensor(0.8897),564.5495451800525,130.10188525915146,tensor(0.8668)
tensor(0.8905),558.4648526199162,121.42405766993761,tensor(0.8726)
tensor(0.8934),545.2053025923669,144.86661812663078,tensor(0.8619)
tensor(0.8932),540.6504607573152,121.67048759013414,tensor(0.8711)
tensor(0.8924),542.1585019063205,121.98425659537315,tensor(0.8718)
tensor(0.8951),527.1056117899716,125.30346731096506,tensor(0.8721)
tensor(0.8945),529.9227241910994,133.30424343794584,tensor(0.8714)
tensor(0.8972),515.873049557209,127.85694431513548,tensor(0.8734)
tensor(0.8977),517.5240360870957,129.22959847003222,tensor(0.8724)
tensor(0.8979),516.4059022776783,135.68818336352706,tensor(0.8733)
tensor(0.9024),485.2260492183268,138.18558913096786,tensor(0.8729)
tensor(0.9036),479.1774179432541,132.29517593234777,tensor(0.8765)
tensor(0.9043),473.958365470171,140.6464523151517,tensor(0.8747)
tensor(0.9034),469.83321983739734,135.9905175641179,tensor(0.8790)
tensor(0.9045),473.10207333788276,135.3250309675932,tensor(0.8745)
tensor(0.9050),469.3297120947391,147.84639063477516,tensor(0.8778)
tensor(0.9059),465.62127560935915,133.95875558257103,tensor(0.8783)
tensor(0.9062),467.17054015863687,136.0647792071104,tensor(0.8758)
tensor(0.9052),468.75005054846406,141.92169316112995,tensor(0.8785)
tensor(0.9062),462.3569046687335,141.95892571657896,tensor(0.8785)
tensor(0.9082),458.1957226600498,146.01771706342697,tensor(0.8777)
tensor(0.9084),454.54796793311834,135.84173479117453,tensor(0.8778)
tensor(0.9076),454.65934616327286,143.8165405355394,tensor(0.8811)
tensor(0.9079),450.1635087747127,154.010342605412,tensor(0.8784)
tensor(0.9075),458.3099669041112,131.82800686731935,tensor(0.8857)
