baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.7980),1028.7704189121723,140.40989664942026,tensor(0.8452)
tensor(0.8425),827.6363511309028,137.98699003458023,tensor(0.8414)
tensor(0.8470),803.2682370990515,143.01003520190716,tensor(0.8377)
tensor(0.8486),797.5448879003525,143.94274139404297,tensor(0.8358)
tensor(0.8512),784.6923586651683,142.86873824894428,tensor(0.8405)
tensor(0.8525),777.2325462028384,139.30807683616877,tensor(0.8472)
tensor(0.8520),785.3038021028042,140.05873499810696,tensor(0.8411)
tensor(0.8525),784.1631554812193,155.9984955638647,tensor(0.8337)
tensor(0.8548),768.518815048039,139.5852061882615,tensor(0.8393)
tensor(0.8500),802.7990660071373,140.61496759951115,tensor(0.8410)
tensor(0.8714),665.441577911377,122.68576290458441,tensor(0.8611)
tensor(0.8747),642.100609600544,124.5087657943368,tensor(0.8610)
tensor(0.8786),635.8073433339596,127.07514396309853,tensor(0.8677)
tensor(0.8783),626.6207259967923,126.69786536693573,tensor(0.8691)
tensor(0.8770),624.5917330347002,134.64422675222158,tensor(0.8598)
tensor(0.8797),610.4252506755292,125.23119081556797,tensor(0.8650)
tensor(0.8809),606.0064651295543,130.7462208494544,tensor(0.8543)
tensor(0.8817),605.278174482286,129.36655390262604,tensor(0.8699)
tensor(0.8812),607.4558351449668,126.69468423724174,tensor(0.8672)
tensor(0.8823),598.5715843997896,135.4435506053269,tensor(0.8613)
tensor(0.8909),543.9027937315404,122.30450645834208,tensor(0.8710)
tensor(0.8955),525.6519589014351,131.5594810321927,tensor(0.8711)
tensor(0.8967),523.4568786174059,128.84239841997623,tensor(0.8695)
tensor(0.8976),511.12899636104703,129.216641087085,tensor(0.8740)
tensor(0.8974),515.9871877897531,127.01174649968743,tensor(0.8733)
tensor(0.8967),516.4715781994164,129.80256843194366,tensor(0.8725)
tensor(0.8990),512.0802416894585,132.20745416730642,tensor(0.8735)
tensor(0.8988),507.1305857729167,136.37734553962946,tensor(0.8751)
tensor(0.8990),510.10562863759696,136.4654705952853,tensor(0.8699)
tensor(0.9013),499.3183192871511,142.81428300589323,tensor(0.8745)
tensor(0.9055),467.97521494328976,145.25603555515409,tensor(0.8756)
tensor(0.9070),464.3058093748987,146.22727243602276,tensor(0.8761)
tensor(0.9067),457.9632442165166,142.26140104979277,tensor(0.8748)
tensor(0.9082),452.8449948877096,150.37266805395484,tensor(0.8766)
tensor(0.9086),451.6759297475219,148.48512084037066,tensor(0.8724)
tensor(0.9100),445.42201434262097,154.25360785797238,tensor(0.8766)
tensor(0.9092),445.8445533439517,151.99166353046894,tensor(0.8782)
tensor(0.9094),451.8882084917277,153.5972242290154,tensor(0.8775)
tensor(0.9100),440.91486107744277,160.19585161842406,tensor(0.8755)
tensor(0.9102),438.89231123402715,158.69802719168365,tensor(0.8791)
tensor(0.9105),444.8584236148745,152.31966760009527,tensor(0.8760)
tensor(0.9106),435.3813926111907,155.1845636740327,tensor(0.8780)
tensor(0.9104),440.1282940702513,153.76292756572366,tensor(0.8774)
tensor(0.9112),434.202341850847,148.86335967481136,tensor(0.8768)
tensor(0.9112),438.18757310695946,142.8230208531022,tensor(0.8831)
