SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8753),650.6824820563197,129.28590734302998,tensor(0.8605)
tensor(0.8796),622.5466110557318,128.9764146618545,tensor(0.8664)
tensor(0.8876),576.4071791619062,138.48829662799835,tensor(0.8604)
tensor(0.8830),595.3859808184206,125.70151798427105,tensor(0.8625)
tensor(0.8833),603.8168644942343,130.66976918280125,tensor(0.8714)
tensor(0.8814),617.1312541477382,137.9306220896542,tensor(0.8589)
tensor(0.8834),595.318830896169,122.57524785399437,tensor(0.8734)
tensor(0.8868),594.8088650479913,141.4601457938552,tensor(0.8663)
tensor(0.8875),585.2839657813311,132.3498358875513,tensor(0.8631)
tensor(0.8874),587.9428285770118,123.54808789119124,tensor(0.8714)
tensor(0.8983),525.2879105061293,122.9394616484642,tensor(0.8783)
tensor(0.9000),508.16462160646915,127.493521977216,tensor(0.8762)
tensor(0.9013),499.66816025972366,124.56176750734448,tensor(0.8774)
tensor(0.9025),490.4271314162761,129.57232634723186,tensor(0.8808)
tensor(0.9038),489.52721529453993,129.6865402944386,tensor(0.8782)
tensor(0.9052),487.5737721025944,126.45147706568241,tensor(0.8752)
tensor(0.9039),487.93115778826177,132.76631844462827,tensor(0.8820)
tensor(0.9071),474.91448354534805,132.15225661732256,tensor(0.8799)
tensor(0.9072),475.49578460492194,136.95378755778074,tensor(0.8801)
tensor(0.9081),467.9549077115953,137.31153558194637,tensor(0.8825)
tensor(0.9125),439.1282763071358,142.6453713439405,tensor(0.8850)
tensor(0.9143),428.94144001044333,141.87418738752604,tensor(0.8852)
tensor(0.9163),413.30435310676694,149.20892366021872,tensor(0.8835)
tensor(0.9168),410.2173214778304,143.84494991227984,tensor(0.8795)
tensor(0.9172),411.39829367771745,157.72254453971982,tensor(0.8867)
tensor(0.9174),411.65005594305694,168.0807603225112,tensor(0.8824)
tensor(0.9179),408.48910432495177,162.19729623571038,tensor(0.8837)
tensor(0.9188),399.6317755859345,164.4503125101328,tensor(0.8839)
tensor(0.9196),398.40576339978725,160.07107814773917,tensor(0.8824)
tensor(0.9186),397.91537352465093,158.14627499878407,tensor(0.8840)
tensor(0.9200),398.44625413417816,154.56496601738036,tensor(0.8833)
tensor(0.9216),388.75972962751985,156.62212416902184,tensor(0.8861)
tensor(0.9202),395.5001372192055,172.0009818971157,tensor(0.8835)
tensor(0.9207),387.01457382924855,171.79543099552393,tensor(0.8834)
tensor(0.9218),387.51168031059206,160.98445753008127,tensor(0.8890)
