MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8824),596.0941336713731,135.37657072395086,tensor(0.8625)
tensor(0.8901),573.0610720403492,138.5989557430148,tensor(0.8653)
tensor(0.8889),583.898760791868,140.1738479360938,tensor(0.8657)
tensor(0.8909),596.7067373022437,149.05581665039062,tensor(0.8650)
tensor(0.8880),626.6483557522297,154.38233722373843,tensor(0.8644)
tensor(0.8921),624.5784138292074,166.09056552499533,tensor(0.8547)
tensor(0.8928),610.1143310666084,166.58002857863903,tensor(0.8505)
tensor(0.8949),600.1677755005658,185.92137613147497,tensor(0.8486)
tensor(0.8931),619.7744321394712,164.57504042237997,tensor(0.8496)
tensor(0.8992),590.8907972555608,177.33551801368594,tensor(0.8473)
tensor(0.9058),527.1225800812244,161.92965738475323,tensor(0.8640)
tensor(0.9089),512.8932349253446,158.06662548705935,tensor(0.8625)
tensor(0.9119),500.27741936966777,162.67453066259623,tensor(0.8605)
tensor(0.9108),505.13160121813416,164.84973890334368,tensor(0.8631)
tensor(0.9143),487.52277942188084,158.40256410464644,tensor(0.8651)
tensor(0.9158),484.15467773005366,177.64774686470628,tensor(0.8654)
tensor(0.9172),478.22293593361974,183.36922654137015,tensor(0.8671)
tensor(0.9171),473.2832766706124,178.91879418119788,tensor(0.8705)
tensor(0.9186),478.69297867268324,185.36922566592693,tensor(0.8627)
tensor(0.9192),463.59795140847564,202.46414837241173,tensor(0.8645)
tensor(0.9248),437.8641925584525,190.10220674425364,tensor(0.8696)
tensor(0.9273),425.0113504640758,193.03174593299627,tensor(0.8685)
tensor(0.9281),420.0880061015487,188.36254404485226,tensor(0.8650)
tensor(0.9274),424.02034222334623,206.31399165745825,tensor(0.8705)
tensor(0.9293),418.82393828965724,210.5922459512949,tensor(0.8711)
tensor(0.9311),413.6516293147579,229.3555412515998,tensor(0.8679)
tensor(0.9315),411.296656913124,226.52887312695384,tensor(0.8665)
tensor(0.9324),409.40002865251154,225.97265776991844,tensor(0.8698)
tensor(0.9316),418.3374675055966,235.97213769331574,tensor(0.8664)
tensor(0.9331),402.30839966982603,238.78079231455922,tensor(0.8675)
tensor(0.9340),398.29029746260494,250.18910989910364,tensor(0.8609)
tensor(0.9347),399.9936117744073,256.943990226835,tensor(0.8630)
tensor(0.9347),398.9410407207906,250.17669035121799,tensor(0.8670)
tensor(0.9359),401.1411345656961,283.4527425430715,tensor(0.8701)
tensor(0.9359),400.2316697156057,205.43218453601003,tensor(0.8878)
