baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.7939),1046.7759648188949,167.65681232511997,tensor(0.8072)
tensor(0.8403),838.5499124974012,145.69490224123,tensor(0.8311)
tensor(0.8410),825.5865966156125,146.961978495121,tensor(0.8433)
tensor(0.8431),815.3494178131223,134.75352973490953,tensor(0.8433)
tensor(0.8480),787.5098284706473,155.1252825409174,tensor(0.8299)
tensor(0.8514),782.5172958783805,144.59703621268272,tensor(0.8334)
tensor(0.8493),791.2819238752127,147.37829760462046,tensor(0.8304)
tensor(0.8509),782.8935124762356,137.61379197984934,tensor(0.8483)
tensor(0.8546),760.1444437727332,149.4117031097412,tensor(0.8396)
tensor(0.8515),774.0947079584002,144.43475459516048,tensor(0.8385)
tensor(0.8704),661.0284233875573,130.0292405858636,tensor(0.8557)
tensor(0.8770),635.7481408044696,132.46101887524128,tensor(0.8529)
tensor(0.8800),620.0460081361234,134.8501122444868,tensor(0.8488)
tensor(0.8799),615.3121069353074,130.94762042164803,tensor(0.8606)
tensor(0.8842),595.3515225239098,122.1344204172492,tensor(0.8720)
tensor(0.8855),591.3363436926156,123.5581837259233,tensor(0.8710)
tensor(0.8852),590.4279138371348,121.9528502561152,tensor(0.8752)
tensor(0.8869),576.4452060982585,127.27846278250217,tensor(0.8730)
tensor(0.8870),587.1930272132158,135.3250604607165,tensor(0.8697)
tensor(0.8876),570.1410955227911,130.89528850466013,tensor(0.8650)
tensor(0.8965),522.8574081212282,124.4543342217803,tensor(0.8785)
tensor(0.8999),502.0574780944735,127.48509423434734,tensor(0.8712)
tensor(0.9009),495.3109233472496,120.2773874849081,tensor(0.8762)
tensor(0.9013),488.06204963847995,129.2606042213738,tensor(0.8790)
tensor(0.9029),480.32617435976863,129.52738366648555,tensor(0.8758)
tensor(0.9039),480.483862625435,136.7870853189379,tensor(0.8782)
tensor(0.9040),482.0032890737057,136.85984977334738,tensor(0.8752)
tensor(0.9037),473.9415250122547,128.37732902541757,tensor(0.8809)
tensor(0.9047),473.75206246599555,129.40153124183416,tensor(0.8745)
tensor(0.9054),468.99862152710557,130.83801137655973,tensor(0.8745)
tensor(0.9106),442.76285475306213,130.41464029997587,tensor(0.8806)
tensor(0.9131),424.8579816464335,150.69412782788277,tensor(0.8764)
tensor(0.9133),425.03191584628075,134.77846007794142,tensor(0.8806)
tensor(0.9140),421.2358431443572,135.47537838481367,tensor(0.8804)
tensor(0.9147),419.81988735497,130.34203604608774,tensor(0.8829)
tensor(0.9154),416.0427735578269,137.22110720723867,tensor(0.8835)
tensor(0.9149),416.3296485738829,143.30567415058613,tensor(0.8819)
tensor(0.9159),411.4615842355415,139.5870884656906,tensor(0.8806)
tensor(0.9152),413.9305219631642,141.84174719452858,tensor(0.8793)
tensor(0.9180),410.90048009715974,141.48171440139413,tensor(0.8805)
tensor(0.9181),402.46470907889307,143.9642868116498,tensor(0.8776)
tensor(0.9176),407.60008779913187,144.9068343155086,tensor(0.8778)
tensor(0.9186),409.9262108076364,147.50323222391307,tensor(0.8825)
tensor(0.9180),403.85634313710034,158.23081806488335,tensor(0.8824)
tensor(0.9191),392.487362944521,143.07854868844151,tensor(0.8851)
