SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8662),697.445165105164,132.93267303705215,tensor(0.8579)
tensor(0.8686),687.5744404569268,125.42001788318157,tensor(0.8589)
tensor(0.8752),645.5891273096204,130.20868266373873,tensor(0.8563)
tensor(0.8714),656.8710720166564,132.18006344139576,tensor(0.8493)
tensor(0.8678),669.8202064447105,131.02560475468636,tensor(0.8456)
tensor(0.8660),686.0402209945023,132.52631452679634,tensor(0.8576)
tensor(0.8676),676.3301886282861,124.3447927236557,tensor(0.8561)
tensor(0.8707),664.1785193197429,133.17661217600107,tensor(0.8501)
tensor(0.8685),670.6112413406372,124.09019298106432,tensor(0.8570)
tensor(0.8734),649.0726439133286,129.50470747053623,tensor(0.8485)
tensor(0.8820),597.9825136996806,117.78368813917041,tensor(0.8684)
tensor(0.8841),585.2170247733593,120.4655927978456,tensor(0.8678)
tensor(0.8849),578.7652973309159,118.39512927085161,tensor(0.8726)
tensor(0.8861),572.6968923490494,116.23865636438131,tensor(0.8675)
tensor(0.8867),569.7891534343362,123.3557410389185,tensor(0.8684)
tensor(0.8890),557.7483577616513,123.69647818058729,tensor(0.8680)
tensor(0.8892),567.3928424865007,122.73458011448383,tensor(0.8734)
tensor(0.8881),566.5641076490283,117.39094252884388,tensor(0.8684)
tensor(0.8904),551.7581433113664,122.14637478068471,tensor(0.8671)
tensor(0.8904),551.0553820226341,118.38847603648901,tensor(0.8719)
tensor(0.8940),522.4305772185326,119.13005566969514,tensor(0.8770)
tensor(0.8974),514.0736772529781,116.81201210618019,tensor(0.8772)
tensor(0.8965),512.5634139422327,121.38459657132626,tensor(0.8763)
tensor(0.8968),510.6203090939671,120.61556883901358,tensor(0.8772)
tensor(0.8992),506.0754918102175,118.79381389543414,tensor(0.8764)
tensor(0.8975),501.6765183247626,127.60394082963467,tensor(0.8739)
tensor(0.8982),502.6925761811435,124.011475071311,tensor(0.8724)
tensor(0.8981),498.1640647649765,125.12825940549374,tensor(0.8739)
tensor(0.8998),503.0028237141669,125.54688491299748,tensor(0.8726)
tensor(0.9006),493.09001227095723,131.0571167320013,tensor(0.8720)
tensor(0.9003),495.010177500546,125.25263990461826,tensor(0.8725)
tensor(0.9002),493.7697481419891,126.8580283112824,tensor(0.8719)
tensor(0.9001),491.9797929804772,125.71759979426861,tensor(0.8774)
tensor(0.9013),487.76901232637465,130.9363403134048,tensor(0.8749)
tensor(0.8999),494.2178019583225,116.59271880239248,tensor(0.8817)
