entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8784),701.4201398976147,137.00676445662975,tensor(0.8669)
tensor(0.8776),710.096036426723,144.82692881673574,tensor(0.8655)
tensor(0.8809),724.2176901847124,185.50440372526646,tensor(0.8592)
tensor(0.8838),751.5261514112353,183.46818166598678,tensor(0.8677)
tensor(0.8872),796.4590615723282,182.1814820766449,tensor(0.8673)
tensor(0.8821),845.6306592151523,180.11171519383788,tensor(0.8691)
tensor(0.8878),818.1594536341727,178.8768781349063,tensor(0.8659)
tensor(0.8898),807.5454912036657,170.9602947048843,tensor(0.8686)
tensor(0.8898),843.5529697239399,175.35278803110123,tensor(0.8702)
tensor(0.8895),852.6945697423071,193.90153907239437,tensor(0.8710)
tensor(0.8968),750.4280247576535,161.13654371723533,tensor(0.8782)
tensor(0.9013),692.1187544353306,171.19946017488837,tensor(0.8744)
tensor(0.9030),672.4176736902446,168.24452671408653,tensor(0.8800)
tensor(0.9042),684.842625292018,176.0057184100151,tensor(0.8754)
tensor(0.9055),708.7379561606795,174.82511791586876,tensor(0.8815)
tensor(0.9074),668.0865735933185,166.70591236278415,tensor(0.8804)
tensor(0.9074),644.0217926353216,188.68257732316852,tensor(0.8793)
tensor(0.9095),644.5704065039754,194.76076447218657,tensor(0.8793)
tensor(0.9083),673.0223131803796,211.04380700737238,tensor(0.8768)
tensor(0.9080),677.8605583105236,215.57977459952235,tensor(0.8773)
tensor(0.9134),620.2216076366603,197.31535395607352,tensor(0.8783)
tensor(0.9150),577.0307562928647,182.17890102602541,tensor(0.8820)
tensor(0.9169),586.376363473013,194.66815601289272,tensor(0.8817)
tensor(0.9180),578.9753497904167,204.5044532082975,tensor(0.8808)
tensor(0.9184),587.1791613847017,199.1778449229896,tensor(0.8848)
tensor(0.9190),589.1886685118079,201.3629827313125,tensor(0.8814)
tensor(0.9176),588.1524019367062,200.67607393302023,tensor(0.8832)
tensor(0.9193),583.5680784503929,202.59726485982537,tensor(0.8806)
tensor(0.9203),594.8096715861466,204.43550058826804,tensor(0.8826)
tensor(0.9209),582.3742141490802,214.51872188225389,tensor(0.8826)
tensor(0.9209),592.4182278271765,215.05264053307474,tensor(0.8822)
tensor(0.9216),586.9600782375783,203.69380478188396,tensor(0.8767)
tensor(0.9206),573.3110461207107,217.27037760987878,tensor(0.8790)
tensor(0.9211),588.1165127623826,224.5489469356835,tensor(0.8855)
tensor(0.9228),582.2232875842601,201.55529000237584,tensor(0.8898)
