MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8802),612.8419314734638,139.53271759673953,tensor(0.8604)
tensor(0.8865),597.0263014100492,145.74544954299927,tensor(0.8557)
tensor(0.8842),620.2651875726879,149.7756725847721,tensor(0.8576)
tensor(0.8846),635.2888338081539,161.21176187694073,tensor(0.8484)
tensor(0.8844),648.7103651277721,151.3052633702755,tensor(0.8551)
tensor(0.8865),636.3032529391348,148.63522442430258,tensor(0.8580)
tensor(0.8866),661.1080030612648,163.239600867033,tensor(0.8448)
tensor(0.8882),629.297886878252,153.5820881202817,tensor(0.8589)
tensor(0.8883),637.7446682825685,197.25263379514217,tensor(0.8444)
tensor(0.8895),643.2515565231442,171.0410843938589,tensor(0.8453)
tensor(0.8991),572.0645364001393,162.78666503354907,tensor(0.8553)
tensor(0.9024),548.1176455244422,162.60559570789337,tensor(0.8600)
tensor(0.9037),550.3633417412639,164.1176852285862,tensor(0.8643)
tensor(0.9063),538.8166099861264,164.3696648105979,tensor(0.8606)
tensor(0.9074),528.7458704225719,171.42195826023817,tensor(0.8573)
tensor(0.9072),533.8507402390242,179.10607611760497,tensor(0.8566)
tensor(0.9085),527.8344393800944,166.4836100935936,tensor(0.8548)
tensor(0.9100),523.1970248501748,170.1282384507358,tensor(0.8606)
tensor(0.9114),512.1623251158744,181.71222129836679,tensor(0.8584)
tensor(0.9110),507.7609046176076,185.07680816575885,tensor(0.8560)
tensor(0.9166),479.0501109994948,185.04194620251656,tensor(0.8597)
tensor(0.9192),473.5783404260874,206.64613838493824,tensor(0.8567)
tensor(0.9193),470.2080130968243,197.62768230587244,tensor(0.8568)
tensor(0.9203),464.8089666943997,207.6437128521502,tensor(0.8550)
tensor(0.9207),463.5494597759098,206.36599054560065,tensor(0.8641)
tensor(0.9214),461.65397981368005,199.34419651702046,tensor(0.8568)
tensor(0.9230),457.7692517898977,216.22587152197957,tensor(0.8602)
tensor(0.9239),457.287902305834,216.66917397081852,tensor(0.8557)
tensor(0.9230),451.569547242485,197.52159660309553,tensor(0.8591)
tensor(0.9241),455.1205792464316,226.4236021451652,tensor(0.8555)
tensor(0.9250),450.1149404607713,244.1466032974422,tensor(0.8603)
tensor(0.9260),452.30909667909145,245.44778317213058,tensor(0.8577)
tensor(0.9270),442.82066964148544,224.42231898754835,tensor(0.8564)
tensor(0.9266),442.90804164577276,238.65077734738588,tensor(0.8602)
tensor(0.9280),443.75484953727573,164.9897766970098,tensor(0.8860)
