SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8718),665.464900508523,128.56230644881725,tensor(0.8628)
tensor(0.8766),644.6490165963769,125.71967159956694,tensor(0.8618)
tensor(0.8850),593.7816945575178,130.36526679620147,tensor(0.8680)
tensor(0.8777),622.5782747454941,138.75017677992582,tensor(0.8568)
tensor(0.8753),630.2185534834862,145.19071938842535,tensor(0.8571)
tensor(0.8745),646.5151543952525,128.49777110666037,tensor(0.8633)
tensor(0.8779),630.8435547221452,133.02143140137196,tensor(0.8601)
tensor(0.8760),636.2216949537396,134.231315523386,tensor(0.8591)
tensor(0.8759),636.1917812526226,136.0729394927621,tensor(0.8638)
tensor(0.8810),607.0176721252501,125.06415338814259,tensor(0.8692)
tensor(0.8902),551.9634059108794,129.5295901671052,tensor(0.8718)
tensor(0.8916),541.3395368903875,128.095290184021,tensor(0.8746)
tensor(0.8934),533.7028841488063,132.92539910972118,tensor(0.8744)
tensor(0.8956),532.4591891281307,133.59959821403027,tensor(0.8745)
tensor(0.8952),520.3662949800491,136.5097282603383,tensor(0.8693)
tensor(0.8971),519.2727089114487,126.26399089396,tensor(0.8743)
tensor(0.8978),513.2894987054169,143.48722925782204,tensor(0.8664)
tensor(0.8983),509.24532537162304,145.25156632065773,tensor(0.8755)
tensor(0.8996),505.7249771244824,134.9656172245741,tensor(0.8767)
tensor(0.8980),505.71060045436025,131.80076605826616,tensor(0.8744)
tensor(0.9031),471.51525963656604,135.20396914705634,tensor(0.8785)
tensor(0.9056),458.4218801315874,143.82728292047977,tensor(0.8764)
tensor(0.9076),454.60442400723696,144.3131697587669,tensor(0.8780)
tensor(0.9071),455.18094490095973,140.44265024736524,tensor(0.8764)
tensor(0.9083),442.550162633881,146.34042390808463,tensor(0.8766)
tensor(0.9083),447.49936609715223,153.71127200871706,tensor(0.8786)
tensor(0.9096),444.8622607719153,150.97200375795364,tensor(0.8819)
tensor(0.9103),441.7160334121436,151.08257810771465,tensor(0.8819)
tensor(0.9089),443.8429424241185,154.0016915947199,tensor(0.8798)
tensor(0.9103),436.48945264331996,161.19521895423532,tensor(0.8773)
tensor(0.9095),440.34512159600854,149.4057214036584,tensor(0.8800)
tensor(0.9106),437.3186808992177,163.55250144004822,tensor(0.8790)
tensor(0.9104),431.19085901230574,158.24436836317182,tensor(0.8803)
tensor(0.9117),426.4221943821758,158.3206297531724,tensor(0.8799)
tensor(0.9117),431.01461959816515,155.18651618808508,tensor(0.8826)
