SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8701),670.7275295183063,126.8613271638751,tensor(0.8606)
tensor(0.8756),629.3177749440074,123.35266780853271,tensor(0.8696)
tensor(0.8841),585.9037424586713,130.0268439501524,tensor(0.8635)
tensor(0.8818),601.3143411800265,124.74400977790356,tensor(0.8617)
tensor(0.8800),615.3368125744164,127.5520272217691,tensor(0.8622)
tensor(0.8805),612.5209096074104,134.76640839874744,tensor(0.8561)
tensor(0.8825),604.5877740234137,129.2929010167718,tensor(0.8604)
tensor(0.8807),617.0437718443573,123.92241077125072,tensor(0.8628)
tensor(0.8818),605.6073651649058,128.7001631706953,tensor(0.8682)
tensor(0.8831),592.4537337198853,139.46068950742483,tensor(0.8616)
tensor(0.8934),537.0890430361032,115.33648519963026,tensor(0.8781)
tensor(0.8954),527.2657743971795,115.22758376598358,tensor(0.8718)
tensor(0.8985),515.4446300715208,130.87564819306135,tensor(0.8671)
tensor(0.8998),507.6915636509657,119.1164570003748,tensor(0.8775)
tensor(0.9003),500.1850740201771,123.74172777682543,tensor(0.8759)
tensor(0.8982),505.9232339859009,128.04206350445747,tensor(0.8748)
tensor(0.9016),487.71235060691833,122.48654262721539,tensor(0.8794)
tensor(0.9017),489.41665509715676,126.3138911165297,tensor(0.8782)
tensor(0.9024),483.6119508743286,130.34524673223495,tensor(0.8757)
tensor(0.9010),492.36269650422037,128.94425344839692,tensor(0.8777)
tensor(0.9064),465.0989885609597,127.46415778249502,tensor(0.8820)
tensor(0.9105),445.88801070675254,132.76019843667746,tensor(0.8787)
tensor(0.9107),445.5529946833849,121.96162769198418,tensor(0.8800)
tensor(0.9110),435.5496934168041,134.19669991731644,tensor(0.8792)
tensor(0.9120),434.65120465680957,132.680632090196,tensor(0.8768)
tensor(0.9125),425.42985329963267,134.9396425448358,tensor(0.8832)
tensor(0.9132),424.8606125675142,133.08669905737042,tensor(0.8826)
tensor(0.9137),423.67109975218773,139.6134490892291,tensor(0.8820)
tensor(0.9131),425.46521672979,133.07086527720094,tensor(0.8779)
tensor(0.9145),419.993355223909,139.05257126688957,tensor(0.8803)
tensor(0.9156),417.18428447656333,140.5142549984157,tensor(0.8789)
tensor(0.9159),415.16855678893626,147.99994642287493,tensor(0.8759)
tensor(0.9167),405.52009258791804,145.5157370902598,tensor(0.8812)
tensor(0.9168),407.96343369595706,148.02570650167763,tensor(0.8820)
tensor(0.9166),407.3801730684936,133.691192291677,tensor(0.8890)
