MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8859),606.2906801588833,139.16025833040476,tensor(0.8669)
tensor(0.8922),578.5783265382051,140.2911405414343,tensor(0.8619)
tensor(0.8925),578.5350969769061,144.63943391293287,tensor(0.8689)
tensor(0.8911),614.9592818878591,155.18202287703753,tensor(0.8592)
tensor(0.8928),619.1671431399882,156.50219975411892,tensor(0.8623)
tensor(0.8942),617.8682473618537,178.88586795702577,tensor(0.8615)
tensor(0.8969),596.8628547154367,179.83854050189257,tensor(0.8659)
tensor(0.8964),603.1164852567017,162.00408758968115,tensor(0.8562)
tensor(0.8996),596.2802095860243,174.51995163410902,tensor(0.8594)
tensor(0.8998),581.3992338459939,168.65282598137856,tensor(0.8601)
tensor(0.9102),504.97352639585733,165.56089529953897,tensor(0.8668)
tensor(0.9121),494.991924315691,185.00972466915846,tensor(0.8622)
tensor(0.9120),503.4536493998021,184.56533021852374,tensor(0.8635)
tensor(0.9150),486.560515425168,182.0005396232009,tensor(0.8616)
tensor(0.9153),489.79666063562036,178.48568453267217,tensor(0.8669)
tensor(0.9171),484.0387645382434,177.7079883813858,tensor(0.8634)
tensor(0.9186),475.0131873805076,188.9674419388175,tensor(0.8633)
tensor(0.9210),464.4379700329155,186.43586985766888,tensor(0.8640)
tensor(0.9188),473.5503710731864,196.71903696656227,tensor(0.8658)
tensor(0.9231),452.8923703636974,211.40551789849997,tensor(0.8646)
tensor(0.9279),423.6433949805796,211.2815475538373,tensor(0.8674)
tensor(0.9283),418.0865441253409,213.61290153488517,tensor(0.8661)
tensor(0.9303),411.485694100149,221.94807201996446,tensor(0.8698)
tensor(0.9311),416.3943881469313,226.28522209823132,tensor(0.8698)
tensor(0.9321),419.3131856014952,230.3963111434132,tensor(0.8681)
tensor(0.9333),407.27996277436614,243.11365324817598,tensor(0.8631)
tensor(0.9344),402.4193297792226,251.6012957468629,tensor(0.8664)
tensor(0.9349),405.3242544159293,237.81219494529068,tensor(0.8619)
tensor(0.9365),399.9697671607137,257.6915898658335,tensor(0.8648)
tensor(0.9366),398.0110947964713,254.740887099877,tensor(0.8662)
tensor(0.9374),397.1734654940665,261.81573242507875,tensor(0.8638)
tensor(0.9383),395.5770207233727,277.8134016022086,tensor(0.8639)
tensor(0.9395),394.1278259418905,275.185698594898,tensor(0.8595)
tensor(0.9400),387.96381248300895,327.70151386223733,tensor(0.8660)
tensor(0.9391),389.09499762766063,224.50463696569204,tensor(0.8860)
