MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8822),612.8448370136321,137.45244957879186,tensor(0.8628)
tensor(0.8878),589.5749067738652,138.44253404811025,tensor(0.8631)
tensor(0.8875),608.6076805330813,146.6006225347519,tensor(0.8642)
tensor(0.8867),623.1661685146391,152.73329644277692,tensor(0.8644)
tensor(0.8863),653.6883221305907,166.81763696298003,tensor(0.8616)
tensor(0.8884),626.5199456326663,157.73939040862024,tensor(0.8636)
tensor(0.8851),678.8273572232574,167.5502461977303,tensor(0.8615)
tensor(0.8905),637.1851249076426,187.18976373970509,tensor(0.8488)
tensor(0.8906),619.5076730512083,165.86542373150587,tensor(0.8607)
tensor(0.8943),612.9966067876667,195.49117993563414,tensor(0.8431)
tensor(0.9003),578.9114337451756,169.21294535323977,tensor(0.8666)
tensor(0.9047),546.9476636201143,174.29130078479648,tensor(0.8711)
tensor(0.9061),539.8903488125652,178.20878344774246,tensor(0.8576)
tensor(0.9092),520.9014828857034,174.62828527390957,tensor(0.8672)
tensor(0.9093),513.3654724750668,189.0761538632214,tensor(0.8607)
tensor(0.9097),517.8683858569711,180.49100944399834,tensor(0.8640)
tensor(0.9106),514.4739636303857,182.07290627621114,tensor(0.8703)
tensor(0.9130),495.1799210254103,181.69496820867062,tensor(0.8650)
tensor(0.9144),498.91663328092545,213.9913162663579,tensor(0.8547)
tensor(0.9133),496.7622201740742,193.7147547453642,tensor(0.8653)
tensor(0.9197),464.8131411438808,198.7907057106495,tensor(0.8676)
tensor(0.9210),452.0455592572689,202.36820700019598,tensor(0.8640)
tensor(0.9222),447.72538635041565,211.58266478031874,tensor(0.8613)
tensor(0.9233),445.6751153636724,220.74049344286323,tensor(0.8681)
tensor(0.9241),447.17127536050975,219.19187707453966,tensor(0.8665)
tensor(0.9251),439.60600994480774,230.07401076331735,tensor(0.8655)
tensor(0.9261),440.77600778639317,244.08389683812857,tensor(0.8681)
tensor(0.9269),438.0520620048046,237.9672603169456,tensor(0.8632)
tensor(0.9286),431.6016562767327,264.01958042010665,tensor(0.8656)
tensor(0.9280),429.37811213359237,267.19843396544456,tensor(0.8645)
tensor(0.9284),431.34201076067984,267.0855283997953,tensor(0.8651)
tensor(0.9298),427.13646973855793,256.21582911908627,tensor(0.8647)
tensor(0.9319),422.3467866079882,268.62245555222034,tensor(0.8634)
tensor(0.9312),422.9673604760319,273.8676763921976,tensor(0.8605)
tensor(0.9309),423.2129578785971,221.3704094849527,tensor(0.8835)
