MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8779),637.6557142622769,132.86388851702213,tensor(0.8608)
tensor(0.8832),619.5836183950305,135.7910601682961,tensor(0.8627)
tensor(0.8820),641.591335773468,154.17164661735296,tensor(0.8507)
tensor(0.8798),664.402292009443,156.43099879845977,tensor(0.8519)
tensor(0.8829),663.8097421862185,156.39446326717734,tensor(0.8552)
tensor(0.8833),657.6096059978008,151.06492711789906,tensor(0.8598)
tensor(0.8836),666.1441305018961,171.07273847609758,tensor(0.8493)
tensor(0.8883),648.8221780136228,167.28758646547794,tensor(0.8512)
tensor(0.8869),656.6413790974766,171.6547868512571,tensor(0.8507)
tensor(0.8880),650.5026367418468,161.62274451553822,tensor(0.8530)
tensor(0.8975),583.0847704261541,162.3258380293846,tensor(0.8630)
tensor(0.8997),578.2834343500435,165.1598393768072,tensor(0.8585)
tensor(0.8996),570.2604853566736,159.01792192086577,tensor(0.8648)
tensor(0.9022),566.2403121367097,167.8966630473733,tensor(0.8533)
tensor(0.9017),564.0687245428562,174.62030241638422,tensor(0.8574)
tensor(0.9040),555.0011784862727,179.23243204504251,tensor(0.8548)
tensor(0.9038),564.3898039069027,170.69042747467756,tensor(0.8573)
tensor(0.9033),569.8558370042592,171.024717066437,tensor(0.8570)
tensor(0.9070),545.4172195009887,176.81570895761251,tensor(0.8558)
tensor(0.9068),547.6105903163552,182.3587448298931,tensor(0.8606)
tensor(0.9121),515.9910624418408,180.82004227489233,tensor(0.8580)
tensor(0.9137),506.72116154804826,192.82314874231815,tensor(0.8574)
tensor(0.9145),508.6193378418684,192.13162204250693,tensor(0.8616)
tensor(0.9159),503.5194592345506,183.88401798903942,tensor(0.8658)
tensor(0.9160),500.1192219471559,182.7884701229632,tensor(0.8630)
tensor(0.9169),497.21066236682236,196.43202055618167,tensor(0.8633)
tensor(0.9169),493.3933340096846,194.44911621510983,tensor(0.8641)
tensor(0.9178),489.50417355820537,191.06823007762432,tensor(0.8635)
tensor(0.9193),486.43387307506055,195.84660737589002,tensor(0.8567)
tensor(0.9190),488.2233535340056,213.7541691698134,tensor(0.8596)
tensor(0.9197),484.6134381731972,204.6221999488771,tensor(0.8598)
tensor(0.9199),485.65445044171065,208.75989252328873,tensor(0.8604)
tensor(0.9210),484.4938311930746,203.9330665282905,tensor(0.8620)
tensor(0.9210),482.4162447825074,210.33580411598086,tensor(0.8581)
tensor(0.9211),485.17321606352925,157.74564001336694,tensor(0.8840)
