MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8845),597.3244615457952,132.76330083608627,tensor(0.8662)
tensor(0.8899),579.6997268535197,139.29916189610958,tensor(0.8662)
tensor(0.8863),612.4451424218714,141.3686311095953,tensor(0.8625)
tensor(0.8895),605.219933912158,148.92246801406145,tensor(0.8597)
tensor(0.8911),610.7623258400708,161.21531109511852,tensor(0.8583)
tensor(0.8914),613.8389915935695,153.7658059336245,tensor(0.8628)
tensor(0.8910),616.5123052932322,167.73063237965107,tensor(0.8571)
tensor(0.8935),619.9855886176229,179.09142369031906,tensor(0.8547)
tensor(0.8939),642.4052412211895,157.50934525951743,tensor(0.8580)
tensor(0.8970),590.8842014111578,176.22714611142874,tensor(0.8484)
tensor(0.9046),536.6809898223728,167.647763594985,tensor(0.8571)
tensor(0.9066),524.9856401216239,182.89494431763887,tensor(0.8586)
tensor(0.9108),512.783816350624,176.64423057436943,tensor(0.8608)
tensor(0.9114),506.405010163784,185.95129804685712,tensor(0.8612)
tensor(0.9118),500.91835332103074,191.30211690813303,tensor(0.8651)
tensor(0.9138),502.30233905278146,179.07915863394737,tensor(0.8558)
tensor(0.9144),495.48705485649407,170.82415211945772,tensor(0.8646)
tensor(0.9159),485.29085901007056,200.33836728706956,tensor(0.8630)
tensor(0.9162),489.8158242665231,217.88356050103903,tensor(0.8527)
tensor(0.9192),478.91848968341947,192.61591587215662,tensor(0.8588)
tensor(0.9240),450.1171598248184,198.16251643374562,tensor(0.8621)
tensor(0.9252),442.5901840403676,209.0500540472567,tensor(0.8594)
tensor(0.9263),440.02213225886226,212.73701018840075,tensor(0.8616)
tensor(0.9267),443.83833869732916,219.7586339637637,tensor(0.8622)
tensor(0.9280),438.2453656895086,222.49824963137507,tensor(0.8662)
tensor(0.9288),436.19790130946785,234.03894604556262,tensor(0.8602)
tensor(0.9298),430.7768281700555,230.80063490569592,tensor(0.8654)
tensor(0.9301),429.99464306794107,235.2609510011971,tensor(0.8605)
tensor(0.9305),431.6545548532158,252.33000642433763,tensor(0.8633)
tensor(0.9317),429.23389871325344,265.4258916191757,tensor(0.8579)
tensor(0.9316),430.89662126172334,273.13707966916263,tensor(0.8576)
tensor(0.9322),420.88672049343586,268.28436894342303,tensor(0.8596)
tensor(0.9341),418.0443947771564,276.5596927013248,tensor(0.8577)
tensor(0.9339),417.1948427623138,278.1131723411381,tensor(0.8573)
tensor(0.9348),411.07902470743284,221.52636253461242,tensor(0.8835)
