entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8747),708.4462462924421,147.45200388878584,tensor(0.8681)
tensor(0.8721),827.6351990401745,161.50936515629292,tensor(0.8730)
tensor(0.8827),747.1474198028445,193.57175953686237,tensor(0.8634)
tensor(0.8820),766.5897613577545,164.86534836143255,tensor(0.8627)
tensor(0.8845),798.6241128742695,194.30847981199622,tensor(0.8650)
tensor(0.8853),834.5378230437636,210.14795930683613,tensor(0.8667)
tensor(0.8840),934.0963087156415,259.51228626817465,tensor(0.8643)
tensor(0.8845),955.950690805912,234.2088109701872,tensor(0.8651)
tensor(0.8858),909.3937730193138,302.1697104945779,tensor(0.8594)
tensor(0.8886),981.542584516108,238.33836810290813,tensor(0.8684)
tensor(0.8960),801.8501851856709,225.5117918252945,tensor(0.8744)
tensor(0.8973),793.1807564534247,207.1059441678226,tensor(0.8753)
tensor(0.9014),792.6815556045622,267.85997577011585,tensor(0.8736)
tensor(0.9011),744.9560214392841,217.74971536546946,tensor(0.8726)
tensor(0.9025),724.4527986496687,217.91206774115562,tensor(0.8769)
tensor(0.9006),746.4830516967922,211.7223985493183,tensor(0.8789)
tensor(0.9044),712.7923857951537,241.0486140884459,tensor(0.8800)
tensor(0.9051),738.6616423707455,247.84548199176788,tensor(0.8792)
tensor(0.9042),713.0674433987588,232.4014429152012,tensor(0.8767)
tensor(0.9055),715.8333222670481,287.8020009174943,tensor(0.8747)
tensor(0.9086),699.5863885097206,242.43982356786728,tensor(0.8844)
tensor(0.9121),669.053349070251,256.13440557196736,tensor(0.8818)
tensor(0.9126),660.1919539887458,238.33797057159245,tensor(0.8823)
tensor(0.9143),647.8596534151584,237.03393951430917,tensor(0.8844)
tensor(0.9147),634.1787112336606,258.0621303766966,tensor(0.8759)
tensor(0.9156),617.9950155727565,244.75315945968032,tensor(0.8844)
tensor(0.9163),618.4750153813511,230.24911213014275,tensor(0.8809)
tensor(0.9175),637.1515434514731,229.4634818676859,tensor(0.8854)
tensor(0.9170),623.447053508833,242.5675011985004,tensor(0.8823)
tensor(0.9170),625.9350535357371,249.48701790347695,tensor(0.8814)
tensor(0.9182),613.5134933330119,242.4649018459022,tensor(0.8813)
tensor(0.9184),610.5087697226554,232.82060686685145,tensor(0.8800)
tensor(0.9207),614.7045131139457,258.50873590260744,tensor(0.8794)
tensor(0.9194),631.2254281984642,256.9948402438313,tensor(0.8815)
tensor(0.9189),623.3815647047013,211.36077795177698,tensor(0.8859)
