entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8734),688.3210350684822,147.12294286862016,tensor(0.8609)
tensor(0.8763),685.6742190681398,142.2769576534629,tensor(0.8627)
tensor(0.8769),724.9931249395013,150.69116836041212,tensor(0.8703)
tensor(0.8774),773.7011412903666,149.78382452204823,tensor(0.8722)
tensor(0.8806),750.3359192945063,170.8528227880597,tensor(0.8674)
tensor(0.8804),762.9625168778002,163.47602899372578,tensor(0.8682)
tensor(0.8855),773.5799491349608,176.33671634085476,tensor(0.8670)
tensor(0.8851),754.4957115165889,163.93594964966178,tensor(0.8702)
tensor(0.8860),751.4596866518259,181.18517918512225,tensor(0.8748)
tensor(0.8882),750.6951983645558,178.03000321239233,tensor(0.8661)
tensor(0.8950),673.207239119336,167.83532241731882,tensor(0.8719)
tensor(0.8957),667.4668028391898,168.21437453478575,tensor(0.8742)
tensor(0.8986),642.3370527885854,169.48707994818687,tensor(0.8713)
tensor(0.8999),630.2680777236819,176.38639573007822,tensor(0.8766)
tensor(0.8999),634.4103702008724,168.21187349781394,tensor(0.8786)
tensor(0.8990),636.7385220900178,174.14334198832512,tensor(0.8773)
tensor(0.9005),616.5870238449425,173.07653957605362,tensor(0.8744)
tensor(0.9015),607.0913249719888,174.36666081100702,tensor(0.8756)
tensor(0.9035),606.136658128351,186.29254003241658,tensor(0.8728)
tensor(0.9040),641.7941760737449,169.77078213356435,tensor(0.8752)
tensor(0.9067),595.309551699087,160.9837737157941,tensor(0.8806)
tensor(0.9086),587.4245513193309,180.0717935822904,tensor(0.8821)
tensor(0.9113),573.8547399304807,167.7443245612085,tensor(0.8824)
tensor(0.9114),572.8883237238042,184.8304540552199,tensor(0.8777)
tensor(0.9113),565.1225097011775,182.02305786311626,tensor(0.8795)
tensor(0.9123),563.0051628332585,173.01101515442133,tensor(0.8798)
tensor(0.9129),580.6717869155109,192.04179501533508,tensor(0.8777)
tensor(0.9117),567.6343850139529,186.5806159004569,tensor(0.8819)
tensor(0.9129),576.8911894867197,193.33336893841624,tensor(0.8788)
tensor(0.9144),575.6272484194487,184.53381722420454,tensor(0.8785)
tensor(0.9145),574.7344177784398,196.53338246420026,tensor(0.8813)
tensor(0.9142),590.073732513003,190.23910384904593,tensor(0.8777)
tensor(0.9147),576.1538749467582,189.86358135193586,tensor(0.8787)
tensor(0.9151),562.3316010944545,195.26958736777306,tensor(0.8795)
tensor(0.9147),577.4020416475832,200.91761190071702,tensor(0.8820)
