SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8748),664.9619617238641,128.6819355338812,tensor(0.8657)
tensor(0.8775),631.5787032432854,127.61767762899399,tensor(0.8603)
tensor(0.8840),584.9549960717559,126.89207921922207,tensor(0.8692)
tensor(0.8829),600.5146345533431,147.83414266258478,tensor(0.8616)
tensor(0.8809),622.3023960515857,148.26411149650812,tensor(0.8659)
tensor(0.8808),621.2524455823004,154.94576961174607,tensor(0.8548)
tensor(0.8824),609.6329523995519,144.15149562060833,tensor(0.8583)
tensor(0.8831),609.2302364334464,138.57289468497038,tensor(0.8644)
tensor(0.8839),599.8614665046334,151.78243151307106,tensor(0.8630)
tensor(0.8816),607.2713934145868,131.69920808076859,tensor(0.8640)
tensor(0.8958),528.6194773688912,130.32692031562328,tensor(0.8779)
tensor(0.8979),513.7666395474225,140.36012583971024,tensor(0.8745)
tensor(0.8991),505.45648213103414,140.9984799437225,tensor(0.8747)
tensor(0.9002),497.9495610296726,137.9731313958764,tensor(0.8721)
tensor(0.9001),502.30076129734516,162.58554196357727,tensor(0.8704)
tensor(0.9017),487.25766288116574,147.73147195577621,tensor(0.8752)
tensor(0.9020),489.4741093926132,137.88953040540218,tensor(0.8682)
tensor(0.9027),480.34887990541756,163.29774229228497,tensor(0.8790)
tensor(0.9040),473.080617217347,143.82218738645315,tensor(0.8779)
tensor(0.9048),476.13493351638317,159.8540669605136,tensor(0.8788)
tensor(0.9091),439.20060111023486,160.55447559431195,tensor(0.8801)
tensor(0.9115),431.06027593649924,161.5249293036759,tensor(0.8772)
tensor(0.9137),425.01213194429874,176.65150585770607,tensor(0.8797)
tensor(0.9139),413.26063188165426,160.47288201004267,tensor(0.8831)
tensor(0.9136),418.5295570055023,173.65564835816622,tensor(0.8795)
tensor(0.9146),413.49530234374106,162.6945655196905,tensor(0.8832)
tensor(0.9150),409.74036991223693,176.1426638662815,tensor(0.8812)
tensor(0.9171),403.91119770146906,173.1264389399439,tensor(0.8801)
tensor(0.9168),403.314999230206,168.67600347101688,tensor(0.8779)
tensor(0.9162),399.1592300068587,176.40645949542522,tensor(0.8804)
tensor(0.9175),393.7521670460701,187.3563370630145,tensor(0.8797)
tensor(0.9181),395.02537737227976,190.62835624814034,tensor(0.8751)
tensor(0.9185),394.56321608647704,186.96936436370015,tensor(0.8787)
tensor(0.9207),384.2841274784878,190.33679643273354,tensor(0.8813)
tensor(0.9203),385.8336321115494,182.2692237496376,tensor(0.8841)
