entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8721),702.2094525396824,136.8262135386467,tensor(0.8664)
tensor(0.8738),712.1442562639713,153.8880105689168,tensor(0.8637)
tensor(0.8777),742.6588644981384,148.67233703285456,tensor(0.8631)
tensor(0.8789),756.2025148533285,167.66485441476107,tensor(0.8650)
tensor(0.8799),778.1209818422794,199.08100366592407,tensor(0.8656)
tensor(0.8798),798.4924435503781,204.81476621702313,tensor(0.8627)
tensor(0.8819),832.4405149705708,190.1921773403883,tensor(0.8732)
tensor(0.8824),796.0464965049177,219.04882564395666,tensor(0.8502)
tensor(0.8831),903.4457769729197,201.40644393861294,tensor(0.8613)
tensor(0.8821),926.7833772338927,212.568376429379,tensor(0.8628)
tensor(0.8925),768.1966598592699,187.58719666302204,tensor(0.8738)
tensor(0.8951),758.9527519568801,184.57053462043405,tensor(0.8775)
tensor(0.8957),707.4984325021505,191.0775776952505,tensor(0.8805)
tensor(0.8967),694.9428456109017,201.27855716645718,tensor(0.8753)
tensor(0.8979),719.7780643925071,196.41485502198339,tensor(0.8791)
tensor(0.8968),704.3410045283381,188.98924564942718,tensor(0.8700)
tensor(0.8992),674.8735269866884,196.34171231091022,tensor(0.8709)
tensor(0.8997),691.1299720834941,186.7105918750167,tensor(0.8757)
tensor(0.9008),687.4803562816232,196.8543119803071,tensor(0.8746)
tensor(0.9010),702.7312451861799,199.51244083046913,tensor(0.8792)
tensor(0.9066),650.768801048398,198.4470664858818,tensor(0.8802)
tensor(0.9070),633.0737144816667,205.02086103707552,tensor(0.8811)
tensor(0.9103),638.7134645916522,205.83493243902922,tensor(0.8772)
tensor(0.9090),641.258375720121,205.93303991481662,tensor(0.8827)
tensor(0.9093),636.6103019956499,209.2296551577747,tensor(0.8836)
tensor(0.9111),626.7987286094576,203.8065733835101,tensor(0.8799)
tensor(0.9097),633.6868187803775,218.9869375936687,tensor(0.8796)
tensor(0.9113),631.0732989590615,220.00582108274102,tensor(0.8807)
tensor(0.9102),645.609726744704,214.7975687533617,tensor(0.8791)
tensor(0.9119),644.1364874234423,217.46338741853833,tensor(0.8801)
tensor(0.9123),635.9363049836829,213.69730123877525,tensor(0.8787)
tensor(0.9140),628.3618388455361,226.18263269215822,tensor(0.8779)
tensor(0.9140),634.4896214623004,208.34915218874812,tensor(0.8792)
tensor(0.9138),622.5173204960302,228.09616117551923,tensor(0.8808)
tensor(0.9150),631.7815841604024,213.58254484832287,tensor(0.8863)
