MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8834),617.943786431104,139.43542272225022,tensor(0.8587)
tensor(0.8890),600.0632963515818,147.3590130507946,tensor(0.8627)
tensor(0.8876),626.0154117979109,160.00137276947498,tensor(0.8572)
tensor(0.8849),650.5606559626758,173.88659102469683,tensor(0.8529)
tensor(0.8876),641.728488445282,150.9538662917912,tensor(0.8529)
tensor(0.8895),625.5057929120958,155.2914374768734,tensor(0.8575)
tensor(0.8914),613.5814031399786,163.61056868731976,tensor(0.8597)
tensor(0.8885),640.9221504926682,153.87035857886076,tensor(0.8556)
tensor(0.8937),609.7653753329068,153.59570172429085,tensor(0.8586)
tensor(0.8928),606.8304516673088,152.57961665838957,tensor(0.8557)
tensor(0.9035),548.2728812750429,153.32945175468922,tensor(0.8625)
tensor(0.9048),537.3884871974587,160.89026007056236,tensor(0.8620)
tensor(0.9069),522.9804660342634,158.99430488795042,tensor(0.8601)
tensor(0.9074),524.4039686284959,168.9848786778748,tensor(0.8610)
tensor(0.9080),522.048996321857,160.07738011330366,tensor(0.8591)
tensor(0.9098),508.08611883595586,170.45761142671108,tensor(0.8584)
tensor(0.9115),511.0074208723381,173.52350027114153,tensor(0.8596)
tensor(0.9117),512.4437667820603,176.59358694963157,tensor(0.8653)
tensor(0.9126),500.8921899162233,175.77210917323828,tensor(0.8618)
tensor(0.9132),493.61096199415624,191.48224113695323,tensor(0.8492)
tensor(0.9190),464.41903840750456,176.7623881008476,tensor(0.8592)
tensor(0.9212),451.6695436183363,182.55509616434574,tensor(0.8627)
tensor(0.9220),449.22434455435723,186.94712929427624,tensor(0.8626)
tensor(0.9235),446.0467254789546,185.8627301864326,tensor(0.8599)
tensor(0.9244),443.95703932084143,184.01036036387086,tensor(0.8662)
tensor(0.9253),437.8575377324596,191.89386062324047,tensor(0.8611)
tensor(0.9257),438.42820658162236,203.8459862433374,tensor(0.8600)
tensor(0.9264),436.99556538648903,197.86215578392148,tensor(0.8642)
tensor(0.9267),437.5345687493682,221.2606808282435,tensor(0.8593)
tensor(0.9277),432.50243990216404,209.70034896582365,tensor(0.8622)
tensor(0.9285),429.5642269067466,217.8757363036275,tensor(0.8604)
tensor(0.9290),425.0014030467719,237.75448316335678,tensor(0.8625)
tensor(0.9296),430.5502435429953,241.6140001900494,tensor(0.8585)
tensor(0.9302),424.5500124981627,219.62581450492144,tensor(0.8603)
tensor(0.9305),416.5077030211687,178.45549685508013,tensor(0.8831)
