SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8740),649.7185302637517,133.84976090490818,tensor(0.8584)
tensor(0.8791),619.3461442813277,125.66268619894981,tensor(0.8694)
tensor(0.8846),576.9579394459724,126.47258280962706,tensor(0.8707)
tensor(0.8834),592.9496707618237,137.81669975072145,tensor(0.8641)
tensor(0.8813),615.7908388637006,134.0544928535819,tensor(0.8695)
tensor(0.8790),615.0914207734168,134.99763329327106,tensor(0.8666)
tensor(0.8814),616.037469483912,131.79747688025236,tensor(0.8678)
tensor(0.8832),612.131956692785,127.00197602063417,tensor(0.8679)
tensor(0.8838),589.2948967628181,133.32761149853468,tensor(0.8726)
tensor(0.8839),599.3737539425492,130.37929445505142,tensor(0.8717)
tensor(0.8953),523.9348692372441,130.190950948745,tensor(0.8752)
tensor(0.8992),512.0979507938027,122.89923005923629,tensor(0.8791)
tensor(0.8987),510.69444055855274,128.53234061971307,tensor(0.8746)
tensor(0.8983),505.4657533727586,137.9091414436698,tensor(0.8781)
tensor(0.9009),497.2479587048292,135.15936835482717,tensor(0.8798)
tensor(0.9007),497.15740871988237,136.33083491772413,tensor(0.8801)
tensor(0.9031),486.03675390500575,130.45133228227496,tensor(0.8749)
tensor(0.9050),473.41824956797063,140.39722798764706,tensor(0.8808)
tensor(0.9041),481.8244752213359,137.20833414047956,tensor(0.8799)
tensor(0.9067),470.89942418038845,144.0067823305726,tensor(0.8817)
tensor(0.9097),443.82870278321207,142.338004399091,tensor(0.8849)
tensor(0.9117),433.7143109738827,149.18542801588774,tensor(0.8858)
tensor(0.9129),426.38264482468367,140.3871634490788,tensor(0.8843)
tensor(0.9136),424.29018387012184,140.57789766415954,tensor(0.8829)
tensor(0.9141),421.30139191634953,165.68277944624424,tensor(0.8850)
tensor(0.9150),416.38461278378963,169.87398564070463,tensor(0.8808)
tensor(0.9154),419.4592745285481,155.36881855130196,tensor(0.8848)
tensor(0.9151),409.96175351180136,166.3932717591524,tensor(0.8839)
tensor(0.9172),407.56862884014845,168.27591742016375,tensor(0.8807)
tensor(0.9168),409.86451536789536,160.1099750176072,tensor(0.8835)
tensor(0.9196),398.72243578732014,168.77097215503454,tensor(0.8823)
tensor(0.9190),397.62754276022315,170.4402053616941,tensor(0.8807)
tensor(0.9184),399.6201618798077,174.41032058373094,tensor(0.8811)
tensor(0.9198),395.1909953020513,163.53224705159664,tensor(0.8808)
tensor(0.9195),392.22176195681095,161.5729084275663,tensor(0.8844)
