entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8635),767.5960645973682,139.45559934526682,tensor(0.8539)
tensor(0.8659),756.5911190025508,138.19166319817305,tensor(0.8558)
tensor(0.8649),773.8039930574596,151.0079923644662,tensor(0.8527)
tensor(0.8701),742.9498832784593,161.71243192255497,tensor(0.8540)
tensor(0.8711),777.3064726218581,149.82702720537782,tensor(0.8595)
tensor(0.8735),805.980533156544,177.09780507534742,tensor(0.8578)
tensor(0.8747),815.8455337882042,175.17564821988344,tensor(0.8606)
tensor(0.8736),863.6602368801832,199.93107138574123,tensor(0.8569)
tensor(0.8766),871.4511230438948,195.7295726686716,tensor(0.8588)
tensor(0.8716),949.4821175672114,182.0472968518734,tensor(0.8611)
tensor(0.8818),783.7682817392051,174.206058524549,tensor(0.8658)
tensor(0.8863),780.5975103098899,163.29357127845287,tensor(0.8678)
tensor(0.8856),772.9562281630933,161.46484598889947,tensor(0.8709)
tensor(0.8879),749.5031060390174,160.5537646524608,tensor(0.8671)
tensor(0.8877),732.6947705969214,182.193568918854,tensor(0.8684)
tensor(0.8890),741.773864408955,168.96667329221964,tensor(0.8694)
tensor(0.8924),716.4362402521074,163.82932816445827,tensor(0.8698)
tensor(0.8894),714.6420022323728,155.76673843711615,tensor(0.8737)
tensor(0.8901),725.7980254013091,172.26612384989858,tensor(0.8689)
tensor(0.8905),741.3708954267204,153.4113178960979,tensor(0.8713)
tensor(0.8958),668.6993144005537,147.97707637771964,tensor(0.8732)
tensor(0.8967),661.5866804961115,144.51329899206758,tensor(0.8768)
tensor(0.8985),653.360880734399,150.97523081302643,tensor(0.8768)
tensor(0.8989),643.6211516186595,150.06919347122312,tensor(0.8735)
tensor(0.8994),647.4880775101483,157.85670889168978,tensor(0.8758)
tensor(0.9001),644.310293963179,159.4333904236555,tensor(0.8743)
tensor(0.9001),649.9637700226158,165.51045770570636,tensor(0.8722)
tensor(0.8988),642.0454239305109,159.90080019459128,tensor(0.8753)
tensor(0.9003),639.044436333701,162.54712403193116,tensor(0.8754)
tensor(0.9003),656.5463888887316,171.91896026954055,tensor(0.8717)
tensor(0.9010),632.45763945207,159.37833451479673,tensor(0.8737)
tensor(0.9016),646.5602409951389,161.42200822755694,tensor(0.8725)
tensor(0.9011),636.5232724174857,152.69433815777302,tensor(0.8774)
tensor(0.9022),624.8743183724582,172.09234806895256,tensor(0.8717)
tensor(0.9005),645.6940198154189,145.62131330370903,tensor(0.8799)
